"KEY","en","notes","sp","fr","de","it","pt-br","ru","ko","ja","zh"
"ABILITY_GROOM_DESC","Remove all of the debuffs on yourself or an adjacent unit.","","Se elimina todas las desventajas de sí misma o de una adyacente.","Retire tous les malus sur vous ou une unité adjacente.","Entferne alle Schwächungen, von denen du oder eine benachbarte Einheit betroffen ist.","Rimuove tutti i malus da te o da un'unità adiacente","Remova todos os enfraquecimentos de si ou de uma unidade adjacente.","Снять все ослабления с себя или соседнего юнита.","","",""
"ABILITY_GROOM2_DESC","Remove all of the debuffs and heal a little HP to yourself or an adjacent unit.","","Se elimina todas las desventajas de sí misma o de una adyacente y le devuelve algunos PS.","Retire tous les malus sur vous ou une unité adjacente et soigne quelques PV.","Entferne alle Schwächungen, von denen du oder eine benachbarte Einheit betroffen ist und heile dich oder die Einheit.","Rimuove tutti i malus da te o da un'unità adiacente e cura una piccola quantità di PS.","Remova todos os enfraquecimentos e cure um pouco da sua saúde ou de uma unidade adjacente.","Снять все ослабления и восстановить немного ОЗ себе или соседнему юниту.","","",""
"ABILITY_ROLL_NAME","Roll","","Rodar","Roulade","Rolle","Rotolamento","Cambalhota","Кувырок","","",""
"ABILITY_ROLL_DESC","Roll up to three tiles in a straight line.","","Rueda hasta 3 casillas en línea recta.","Roulez sur&nbsp;1&nbsp;à&nbsp;3&nbsp;cases en ligne droite.","Rolle bis zu drei Felder in einer geraden Linie.","Rotola fino a una distanza di tre caselle in linea retta.","Role por até três espaços em uma linha reta.","Кувырок на 3 клетки по прямой.","","",""
"ABILITY_ROLL2_DESC","Roll up to ten tiles in a straight line.","","Rueda hasta 10 casillas en línea recta.","Roulez sur&nbsp;1&nbsp;à&nbsp;10&nbsp;cases en ligne droite.","Rolle bis zu zehn Felder in einer geraden Linie.","Rotola fino a una distanza di dieci caselle in linea retta.","Role por até dez espaços em uma linha reta.","Кувырок на 10 клеток по прямой.","","",""
"ABILITY_SHARPENCLAWS_NAME","Sharpen Claws","","Afilado de garras","Griffes aiguisées","Krallen schärfen","Artigli Affilati","Afiar garras","Заточить когти","","",""
"ABILITY_SHARPENCLAWS_DESC","Gain +1 [img:str].","","Obtiene +1 [img:str].","[img:str]&nbsp;+1.","Erhalte +1&nbsp;[img:str].","Ottieni +1 alla [img:str].","Obtenha +1 de [img:str].","+1 [img:str].","","",""
"ABILITY_SHARPENCLAWS2_DESC","Gain +1 [img:str].
Bonus Passive: Your basic attack inflicts Bleed.","","Obtiene +1 [img:str].
Pasiva de bonificación: El ataque básico inflige hemorragia.","[img:str]&nbsp;+1.
Passif bonus&nbsp;: votre attaque de base inflige Saignement.","Erhalte +1&nbsp;[img:str].
Bonuspassiveffekt: Dein Grundangriff verursacht Blutung.","Ottieni +1 alla [img:str].
Bonus Passivo: il tuo attacco base infligge Sanguinamento.","Obtenha +1 de [img:str].
Bônus passivo: seu ataque básico aplica sangramento.","+1 [img:str].
Бонусный пассив: Базовая атака накладывает Кровотечение.","","",""
"ABILITY_REACH_NAME","Reach","","Extensión","Allonge","Strecken","Portata","Alcance","Досягаемость","","",""
"ABILITY_REACH_DESC","Your next basic attack has +1 range.","","El siguiente ataque básico tiene +1 de alcance.","Votre prochaine attaque de base gagne Portée&nbsp;+1.","Dein nächster Grundangriff hat +1&nbsp;Reichweite.","Il tuo prossimo attacco base ha +1 al raggio d'azione.","Seu próximo ataque possui +1 de alcance.","Следующая базовая атака имеет +1 к дальности.","","",""
"ABILITY_REACH2_DESC","Your next basic attack has +3 range.","","El siguiente ataque básico tiene +3 de alcance.","Votre prochaine attaque de base gagne Portée&nbsp;+3.","Dein nächster Grundangriff hat +3&nbsp;Reichweite.","Il tuo prossimo attacco base ha +3 al raggio d'azione.","Seu próximo ataque possui +3 de alcance.","Следующая базовая атака имеет +3 к дальности.","","",""
"ABILITY_BORROWMANA_NAME","Borrow Mana","","Préstamo de maná","Emprunt de mana","Mana leihen","Prestito di Mana","Empréstimo de mana","Одолжить ману","","",""
"ABILITY_BORROWMANA_DESC","Steal up to 5 mana from an ally.
[s:.7](Castable once per turn.)[/s]","","Roba 5 de maná a un aliado.
[s:.7](Se puede lanzar una vez por turno).[/s]","Volez jusqu'à 5&nbsp;mana à une unité alliée.
[s:.7](Une fois par tour.)[/s]","Sauge einem Verbündeten bis zu 5&nbsp;Mana ab.
[s:.7](Einmal pro Zug verwendbar.)[/s]","Ruba fino a 5 mana da un alleato.
[s:.7](Lanciabile una volta per turno.)[/s]","Roube até 5 de mana de um aliado.
[s:.7](Um lançamento por turno.)[/s]","Украсть до 5 маны у союзника.
[s:.7](Можно использовать раз в ход.)[/s]","","",""
"ABILITY_BORROWMANA2_DESC","Steal all of an ally's mana.
[s:.7](Castable once per turn.)[/s]","","Roba todo el maná de un aliado.
[s:.7](Se puede lanzar una vez por turno).[/s]","Volez tout le mana d'une unité alliée.
[s:.7](Une fois par tour.)[/s]","Sauge einem Verbündeten sämtliches Mana ab.
[s:.7](Einmal pro Zug verwendbar.)[/s]","Ruba tutto il mana di un alleato.
[s:.7](Lanciabile una volta per turno.)[/s]","Roube toda a mana de um aliado.
[s:.7](Um lançamento por turno.)[/s]","Украсть всю ману союзника.
[s:.7](Можно использовать раз в ход.)[/s]","","",""
"ABILITY_SOOTHINGGLOW_NAME","Soothing Glow","","Brillo calmante","Éclat apaisant","Beruhigender Schein","Bagliore Lenitivo","Brilho Calmante","Мягкое свечение","","",""
"ABILITY_SOOTHINGGLOW_DESC","Heal yourself 1.","","Recupera 1 PS.","Soignez-vous de 1.","Heile dich um 1&nbsp;LP.","Ti curi di 1 PS.","Cure 1 ponto de sua saúde.","Исцелить себя на 1.","","",""
"ABILITY_SOOTHINGGLOW2_DESC","Heal yourself 1 and gain +1 to a random stat.","","Recupera 1 PS y obtiene +1 de un atributo al azar.","Soignez-vous de 1&nbsp;et gagnez +1&nbsp;à une stat aléatoire.","Heile dich um 1&nbsp;LP und erhalte +1 auf ein zufälliges Attribut.","Ti curi di 1 PS e ottieni +1 a una statistica casuale.","Cure 1 ponto de sua saúde e obtenha +1 em um atributo aleatório.","Исцелить себя на 1 и получить +1 к случайной характеристике.","","",""
"ABILITY_PONDER_NAME","Ponder","","Reflexión","Réflexion","Grübeln","Meditazione","Ponderação","Размышление","","",""
"ABILITY_PONDER_DESC","Gain +1 [img:int].","","Obtiene +1 [img:int].","[img:int]&nbsp;+1.","Erhalte +1&nbsp;[img:int].","Ottieni +1 all'[img:int].","Obtenha +1 de [img:int].","+1 [img:int].","","",""
"ABILITY_PONDER2_DESC","Gain +1 [img:int] and conjure a random bonus ability.","","Obtiene +1 [img:int] e invoca una habilidad de bonificación al azar.","[img:int]&nbsp;+1&nbsp;et conjure une compétence bonus aléatoire.","Erhalte +1&nbsp;[img:int] und beschwöre eine zufällige Bonusfähigkeit.","Ottieni +1 all'[img:int] ed evochi un'abilità bonus casuale.","Obtenha +1 de [img:int] e conjure uma habilidade bônus aleatória.","+1 [img:int] и вызвать случайную бонусную способность.","","",""
"ABILITY_FOCUS_NAME","Focus","","Concentración","Concentration","Konzentration","Concentrazione","Concentração","Фокусировка","","",""
"ABILITY_FOCUS_DESC","Gain +1 [img:dex].","","Obtiene +1 [img:dex].","[img:dex]&nbsp;+1.","Erhalte +1&nbsp;[img:dex].","Ottieni +1 alla [img:dex].","Obtenha +1 de [img:dex].","Получить +1 [img:dex].","","",""
"ABILITY_FOCUS2_DESC","Gain +1 [img:dex].
Bonus Passive: +25% critical hit chance.","","Obtiene +1 [img:dex].
Pasiva de bonificación: +25 % de probabilidad de golpe crítico.","[img:dex]&nbsp;+1.
Passif bonus&nbsp;: chances de coup critique&nbsp;+25&nbsp;%.","Erhalte +1&nbsp;[img:dex].
Bonuspassiveffekt: +25%&nbsp;kritische Trefferchance.","Ottieni +1 alla [img:dex].
Bonus Passivo: +25% di probabilità di colpo critico.","Obtenha +1 de [img:dex].
Bônus passivo: +25% de chance de crítico.","+1 [img:dex].
Бонусный пассив: +25% шанс критического удара.","","",""
"ABILITY_METABOLIZE_NAME","Metabolize","","Metabolismo","Robustesse","Metabolismus","Metabolizzazione","Metabolização","Метаболизм","","",""
"ABILITY_METABOLIZE_DESC","Gain +1 [img:con].","","Obtiene +1 [img:con].","[img:con]&nbsp;+1.","Erhalte +1&nbsp;[img:con].","Ottieni +1 alla [img:con].","Obtenha +1 de [img:con].","Получить +1 [img:con].","","",""
"ABILITY_METABOLIZE2_DESC","Gain +1 [img:con].
Bonus Passive: +3 Health Regeneration.","","Obtiene +1 [img:con].
Pasiva de bonificación: +3 de regeneración de salud.","[img:con]&nbsp;+1.
Passif bonus&nbsp;: régénération de santé&nbsp;+3.","Erhalte +1&nbsp;[img:con].
Bonuspassiveffekt: +3&nbsp;Lebensregeneration.","Ottieni +1 alla [img:con].
Bonus Passivo: +3 a Rigenerazione Salute.","Obtenha +1 de [img:con].
Bônus passivo: +3 de regeneração de saúde.","+1 [img:con].
Бонусный пассив: +3 к регенерации здоровья.","","",""
"ABILITY_BRAINSTORM_NAME","Brainstorm","","Lluvia de ideas","Introspection","Geistesblitz","Tempesta Mentale","Troca de Ideias","Мозговой штурм","","",""
"ABILITY_BRAINSTORM_DESC","Reduce the costs of your other spells by 1 mana.","","Reduce en 1 de maná el coste de los demás hechizos.","Réduit le coût de vos autres sorts de 1&nbsp;mana.","Reduziert die Kosten all deiner anderen Zauber um 1&nbsp;Mana.","Riduci il costo dei tuoi altri incantesimi di 1 mana.","Reduza os custos dos seus outros encantamentos em 1 de mana.","Снизить стоимость остальных заклинаний на 1 ману.","","",""
"ABILITY_BRAINSTORM2_DESC","Reduce the cost of ALL of your spells by 1 mana.","","Reduce en 1 de maná el coste de todos sus demás hechizos.","Réduit le coût de tous vos sorts de 1&nbsp;mana.","Reduziert die Kosten ALL deiner Zauber um 1&nbsp;Mana.","Riduci il costo di TUTTI i tuoi altri incantesimi di 1 mana.","Reduza os custos de todos os seus encantamentos em 1 de mana.","Снизить стоимость ВСЕХ заклинаний на 1 ману.","","",""
"ABILITY_CLAWSOUT_NAME","Claws Out","","Zarpazo","Toutes griffes dehors","Krallen zücken","Graffio Aguzzo","Garras Expostas","Когти наружу","","",""
"ABILITY_CLAWSOUT_DESC","Gain +1 Thorns.","","Obtiene +1 de espinas.","Épines&nbsp;+1.","Erhalte +1&nbsp;Dornen.","Ottieni +1 Spine.","Obtenha +1 de espinhos.","+1 к Шипам.","","",""
"ABILITY_CLAWSOUT2_DESC","Gain +1 Thorns.
[s:.7](This spell costs less.)[/s]","","Obtiene +1 de espinas.
[s:.7](Este hechizo cuesta menos).[/s]","Épines&nbsp;+1.
[s:.7](Coût réduit.)[/s]","Erhalte +1&nbsp;Dornen.
[s:.7](Dieser Zauber kostet weniger.)[/s]","Ottieni +1 Spine.
[s:.7](Quest'incantesimo costa meno.)[/s]","Obtenha +1 de espinhos.
[s:.7](Este encantamento custa menos.)[/s]","+1 к Шипам.
[s:.7](Это заклинание стоит меньше.)[/s]","","",""
"ABILITY_PREPARETOJUMP_NAME","Hop","","Brinco","Et hop&nbsp;!","Hüpfen","Saltello","Pulo","Прыг","","",""
"ABILITY_PREPARETOJUMP_DESC","Hop up to 2 tiles away.","","Salta hasta a 2 casillas de distancia.","Sautez jusqu'à 2&nbsp;cases plus loin.","Hüpfe bis zu 2&nbsp;Felder weit.","Salta fino a 2 caselle di distanza.","Pule para até 2 espaços de distância.","Прыжок на 2 клетки.","","",""
"ABILITY_PREPARETOJUMP2_DESC","Hop up to 4 tiles away.","","Salta hasta a 4 casillas de distancia.","Sautez jusqu'à 4&nbsp;cases plus loin.","Hüpfe bis zu 4&nbsp;Felder weit.","Salta fino a 4 caselle di distanza.","Pule para até 4 espaços de distância.","Прыжок на 4 клетки.","","",""
"ABILITY_SPELLBOOSTRANGE_NAME","Boost","","Potencia","Boost","Magische Stärkung","Potenziamento","Reforço","Усиление","","",""
"ABILITY_SPELLBOOSTRANGE_DESC","Gain +1 Magic Damage until end of turn.","","Obtiene +1 de daño mágico hasta el final del turno.","Dégâts magiques&nbsp;+1&nbsp;jusqu'à la fin du tour.","Erhalte bis zum Ende deines Zuges +1&nbsp;magischen Schaden.","Ottieni +1 al Danno Magico fino alla fine del turno.","Obtenha 1 de dano mágico até o final do turno.","+1 к магическому урону до конца хода.","","",""
"ABILITY_SPELLBOOSTRANGE2_DESC","Gain +1 Magic Damage until end of turn.
[s:.7](This spell costs less.)[/s]","","Obtiene +1 de daño mágico hasta el final del turno.
[s:.7](Este hechizo cuesta menos).[/s]","Dégâts magiques&nbsp;+1&nbsp;jusqu'à la fin du tour.
[s:.7](Coût réduit.)[/s]","Erhalte bis zum Ende deines Zuges +1&nbsp;magischen Schaden.
[s:.7](Dieser Zauber kostet weniger.)[/s]","Ottieni +1 al Danno Magico fino alla fine del turno.
[s:.7](Quest'incantesimo costa meno.)[/s]","Obtenha +1 de dano mágico até o final do turno.
[s:.7](Este encantamento custa menos.)[/s]","+1 к магическому урону до конца хода.
[s:.7](Это заклинание стоит меньше.)[/s]","","",""
"ABILITY_STEAMROLLER_NAME","Steam Roller","","Apisonadora","Rouleau compresseur","Dampfwalze","Rullo Compressore","Rolo Compressor","Каток","","",""
"ABILITY_STEAMROLLER_DESC","Trample over 1 tile.","","Pisotea 1 casilla.","Piétinement sur 1&nbsp;case.","Trampel über 1&nbsp;Feld.","Calpesta 1 casella.","Atropele por até 1 espaço.","Протоптать 1 клетку.","","",""
"ABILITY_STEAMROLLER2_DESC","Trample over 3 tiles.","","Pisotea 3 casillas.","Piétinement sur 3&nbsp;cases.","Trampel über 3&nbsp;Felder.","Calpesta 3 caselle.","Atropele por até 3 espaços.","Протоптать 3 клетки.","","",""
"ABILITY_GAMBLE_NAME","Gamble","","Apuesta","Pari","Glücksspiel","Azzardo","Aposta","Азарт","","",""
"ABILITY_GAMBLE_DESC","Gain +2% critical hit chance. If your next attack is critical, deal +100% more damage and spawn coins.","","Obtiene +2 % de probabilidad de golpe crítico. Si el próximo ataque es crítico, inflige +100 % de daño y genera monedas.","Chances de coup critique&nbsp;+2&nbsp;%. Si votre prochaine attaque est un coup critique, Dégâts&nbsp;+100&nbsp;% et des pièces apparaissent.","Erhalte +2&nbsp;% kritische Trefferchance. Wenn dein nächster Angriff kritisch trifft, verursache +100&nbsp;% erhöhten Schaden und lasse Münzen erscheinen.","Ottieni un +2% di probabilità di colpo critico. Se il tuo prossimo attacco è critico, infliggi +100% di danno in più e fai apparire delle monete.","Obtenha +2% de chance de crítico. Se seu próximo ataque for crítico, cause +100% de dano e gere moedas.","Получить +2% к шансу крит. удара. Если следующая атака — критическая, нанести +100% урона и получить монеты.","","",""
"ABILITY_GAMBLE2_DESC","Gain +2% critical hit chance. If your next attack is critical, deal +200% more damage and spawn more coins.","","Obtiene +2 % de probabilidad de golpe crítico. Si el próximo ataque es crítico, inflige +200 % de daño y genera monedas.","Chances de coup critique&nbsp;+2&nbsp;%. Si votre prochaine attaque est un coup critique, Dégâts&nbsp;+200&nbsp;% et des pièces apparaissent.","Erhalte +2&nbsp;% kritische Trefferchance. Wenn dein nächster Angriff kritisch trifft, verursache +200&nbsp;% erhöhten Schaden und lasse viele Münzen erscheinen.","Ottieni un +2% di probabilità di colpo critico. Se il tuo prossimo attacco è critico, infliggi +200% di danno in più e fai apparire più monete.","Obtenha +2% de chance de crítico. Se seu próximo ataque for crítico, cause +200% de dano e gere moedas.","Получить +2% к шансу крит. удара. Если следующая атака — критическая, нанести +200% урона и получить больше монет.","","",""
"ABILITY_SOULREAP_NAME","Soul Reap","","Cosechadora de almas","Moisson d'âmes","Seelenernte","Mietitura d'Anime","Colheita de Alma","Жатва душ","","",""
"ABILITY_SOULREAP_DESC","Deal 1 damage to a unit within five tiles. If this kills it, gain 5 mana.","","Inflige 1 de daño a una unidad en un radio de 5 casillas. Si la mata, obtiene 5 de maná.","Infligez 1&nbsp;point de dégâts à une unité à moins de 5&nbsp;cases. Si elle meurt, mana&nbsp;+5.","Verursache bei einer Einheit innerhalb von fünf Feldern 1&nbsp;Schaden. Wenn die Einheit stirbt, erhalte 5&nbsp;Mana.","Infliggi 1 di danno a un'unità entro cinque caselle. Se la uccidi, ottieni 5 mana.","Cause 1 de dano a uma unidade dentro de até 5 espaços de distância. Se isto a matar, obtenha 5 de mana.","Нанести 1 урона юниту в пределах 5 клеток. Если это его убьёт, получить 5 маны.","","",""
"ABILITY_SOULREAP2_DESC","Deal 1 damage to any unit. If this kills it, gain 5 mana.","","Inflige 1 de daño a cualquier unidad. Si la mata, obtiene 5 de maná.","Infligez 1&nbsp;point de dégâts à une unité. Si elle meurt, mana&nbsp;+5.","Verursache bei einer beliebigen Einheit 1&nbsp;Schaden. Wenn die Einheit stirbt, erhalte 5&nbsp;Mana.","Infliggi 1 di danno a una qualsiasi unità. Se la uccidi, ottieni 5 mana.","Cause 1 de dano a qualquer unidade. Se isto a matar, obtenha 5 de mana.","Нанести 1 урона любому юниту. Если это его убьёт, получить 5 маны.","","",""
"ABILITY_HUNT_NAME","Hunt","","Caza","Chasse","Jagd","Caccia","Caça","Охота","","",""
"ABILITY_HUNT_DESC","A ranged attack that turns anything it kills into meat.","","Un ataque a distancia que convierte en carne a todo lo que mata.","Si vous tuez une unité avec cette attaque à distance, elle devient de la viande.","Ein Fernangriff, der Einheiten, die er tötet, in Fleisch verwandelt.","Un attacco a distanza che trasforma in carne tutto ciò che uccide.","Um ataque à distância que transforma tudo que mata em carne.","Дальняя атака. Убитая цель превращается в мясо.","","",""
"ABILITY_HUNT2_DESC","A stronger ranged attack that turns anything it kills into meat.","","Un ataque a distancia más fuerte que convierte en carne a todo lo que mata.","Si vous tuez une unité avec cette puissante attaque à distance, elle devient de la viande.","Ein stärkerer Fernangriff, der Einheiten, die er tötet, in Fleisch verwandelt.","Un attacco a distanza più potente che trasforma in carne tutto ciò che uccide.","Um ataque à distância mais forte que transforma tudo que mata em carne.","Усиленная дальняя атака. Убитая цель превращается в мясо.","","",""
"ABILITY_FLEX_NAME","Flex","","Demostración","Flex","Muskelprotz","Contrazione","Flexão","Понты","","",""
"ABILITY_FLEX_DESC","Gain +1 temporary Brace until your next turn and deal 1 knockback to each adjacent unit.","","Obtiene +1 de refuerzo temporal hasta el próximo turno e inflige 1 de retroceso a cada unidad adyacente.","Garde temporaire&nbsp;+1&nbsp;jusqu'à votre prochain tour et Recul&nbsp;+1&nbsp;à chaque unité adjacente.","Erhalte bis zu deinem nächsten Zug +1 vorübergehendes Wappnen und verursache bei jeder benachbarten Einheit 1&nbsp;Rückstoß.","Ottieni +1 Guardia temporanea fino al tuo turno successivo e infliggi 1 Contraccolpo a ogni unità adiacente.","Obtenha +1 de preparação temporária e cause 1 de empurrão a cada unidade adjacente.","+1 временная Стойка до вашего следующего хода и 1 Отбрасывание каждому соседнему юниту.","","",""
"ABILITY_FLEX2_DESC","Gain +1 temporary Brace until your next turn and deal 3 knockback to each adjacent unit.
[s:.7](This spell costs less.)[/s]","","Obtiene +1 de refuerzo temporal hasta el próximo turno e inflige 3 de retroceso a cada unidad adyacente.
[s:.7](Este hechizo cuesta menos).[/s]","Garde temporaire&nbsp;+1&nbsp;jusqu'à votre prochain tour et Recul&nbsp;+3&nbsp;à chaque unité adjacente.
[s:.7](Coût réduit.)[/s]","Erhalte bis zu deinem nächsten Zug +1 vorübergehendes Wappnen und verursache bei jeder benachbarten Einheit 3&nbsp;Rückstoß.
[s:.7](Dieser Zauber kostet weniger.)[/s]","Ottieni +1 Guardia temporanea fino al tuo turno successivo e infliggi 3 Contraccolpo a ogni unità adiacente.
[s:.7](Quest'incantesimo costa meno.)[/s]","Obtenha +1 de preparação temporária e cause 3 de empurrão a cada unidade adjacente.
[s:.7](Este encantamento custa menos.)[/s]","+1 временная Стойка до вашего следующего хода и 3 Отбрасывания каждому соседнему юниту.
[s:.7](Это заклинание стоит меньше.)[/s]","","",""
"ABILITY_DART_NAME","Dart","","Dardo","Clou perçant","Wurfpfeil","Dardo","Dardo","Дротик","","",""
"ABILITY_DART_DESC","Throw a nail that ignores shield.","","Lanza un clavo que ignora el escudo.","Lance un clou qui ignore la défense.","Wirf einen Pfeil, der Schilde ignoriert.","Lancia un chiodo che ignora gli scudi.","Lance um prego que ignora escudos.","Метнуть гвоздь — игнорирует щит.","","",""
"ABILITY_DART2_DESC","Throw a stronger nail that ignores shield.
[s:.7](This spell costs less.)[/s]","","Lanza un clavo más fuerte que ignora el escudo.
[s:.7](Este hechizo cuesta menos).[/s]","Lance un clou plus puissant qui ignore la défense.
[s:.7](Coût réduit.)[/s]","Wirf einen stärkeren Pfeil, der Schilde ignoriert.
[s:.7](Dieser Zauber kostet weniger.)[/s]","Lancia un chiodo più potente che ignora gli scudi.
[s:.7](Quest'incantesimo costa meno.)[/s]","Lance um prego que ignora escudos.
[s:.7](Este encantamento custa menos.)[/s]","Метнуть усиленный гвоздь — игнорирует щит.
[s:.7](Это заклинание стоит меньше.)[/s]","","",""
"ABILITY_SMACK_NAME","Smack","","Bofetón","Baffe","Backpfeife","Sberla","Bofete","Шлепок","","",""
"ABILITY_SMACK_DESC","A weak melee attack.","","Un ataque cuerpo a cuerpo débil.","Une faible attaque au corps-à-corps.","Ein schwacher Nahkampfangriff.","Un attacco corpo a corpo debole.","Um ataque corpo-a-corpo fraco.","Слабая атака ближнего боя.","","",""
"ABILITY_SMACK2_DESC","A weak melee attack with a chance to repeat.","","Un ataque cuerpo a cuerpo débil que tiene una probabilidad de repetirse.","Une faible attaque au corps-à-corps avec une chance de se relancer.","Ein schwacher Nahkampfangriff, der mit einer gewissen Wahrscheinlichkeit wiederholt wird.","Un attacco corpo a corpo debole con possibilità di ripetizione.","Um ataque corpo-a-corpo fraco com uma chance de se repetir.","Слабая атака ближнего боя с шансом повтора.","","",""
"ABILITY_SPIT_NAME","Spit","","Escupitajo","Crachat","Spucken","Sputo","Cuspe","Плевок","","",""
"ABILITY_SPIT_DESC","Spit attack with infinite range that deals 1 damage.","","Un ataque de escupitajo con alcance ilimitado que inflige 1 de daño.","Attaque de crachat à la portée infinie qui inflige 1&nbsp;point de dégâts.","Spuckangriff mit unendlicher Reichweite. Verursacht 1&nbsp;Schaden.","Un attacco a sputo a raggio d'azione infinito che infligge 1 di danno.","Um ataque de cuspe com alcance infinito que causa 1 de dano.","Плевок с бесконечной дальностью — наносит 1 урона.","","",""
"ABILITY_SPIT2_DESC","Spit attack with infinite range that deals 2 damage in an area.","","Un ataque de escupitajo con alcance ilimitado que inflige 2 de daño en un área.","Attaque de crachat à la portée infinie qui inflige 2&nbsp;points de dégâts en zone.","Spuckangriff mit unendlicher Reichweite. Verursacht 2&nbsp;Flächenschaden.","Un attacco a sputo a raggio d'azione infinito che infligge 2 di danno in un'area.","Um ataque de cuspe com alcance infinito que causa 2 de dano em uma área.","Плевок с бесконечной дальностью — наносит 2 урона по области.","","",""
"ABILITY_MINIHOOK_NAME","Minihook","","Minigancho","Mini-grappin","Minihaken","Mini-uncino","Mini gancho","Крючок","","",""
"ABILITY_MINIHOOK_DESC","Pull a unit towards you.","","Atrae una unidad.","Tire une unité vers vous.","Zieh eine Einheit an dich heran.","Attira un'unità verso di te.","Puxe uma unidade na sua direção.","Притянуть юнита к себе.","","",""
"ABILITY_MINIHOOK2_DESC","Pull a unit towards you. Deal 1 damage and inflict 1 Bleed on them.","","Atrae una unidad. Le inflige 1 de daño y 1 de hemorragia.","Tire une unité vers vous et lui inflige 1&nbsp;point de dégâts et Saignement&nbsp;+1.","Zieh eine Einheit an dich heran. Verursache 1&nbsp;Schaden und 1&nbsp;Blutung.","Attira un'unità verso di te. Infligge 1 di danno e applica 1 Sanguinamento.","Puxe uma unidade na sua direção. Cause 1 de dano e aplique sangramento 1 nessa mesma unidade.","Притянуть юнита к себе. Нанести 1 урона и наложить 1 Кровотечение.","","",""
"ABILITY_OVERTHERE_NAME","Over There!","","¡Allí!","Là-bas&nbsp;!","Hinter dir!","Laggiù!","Olhe Ali!","Смотри туда!","","",""
"ABILITY_OVERTHERE_DESC","Adjacent units turn away from you.","","Las unidades adyacentes le dan la espalda.","Les unités adjacentes vous tournent le dos.","Benachbarte Einheiten drehen sich von dir weg.","Le unità adiacenti si allontanano da te.","Unidades adjacentes se viram de costas para você.","Соседние юниты отворачиваются от вас.","","",""
