KEY,en
QEVENT_STACYMUTANT1_REW2,"Робо-рука опускается и делает клону инъекцию, давая ему Стойку!"
QEVENT_STACYMUTANT1_REW2_M,
QEVENT_STACYMUTANT1_REW2_F,
QEVENT_STACYMUTANT1_REW2_N,
QEVENT_STACYMUTANT1_ANSW3,Святой щит
QEVENT_STACYMUTANT1_REW3,"Робо-рука опускается и делает клону инъекцию...

Он начинает светиться аурой Святого щита!"
QEVENT_STACYMUTANT1_REW3_M,
QEVENT_STACYMUTANT1_REW3_F,
QEVENT_STACYMUTANT1_REW3_N,
QEVENT_STACYMUTANT1_ANSW4,Не надо
QEVENT_STACYMUTANT1_REW4,"{catname} тянет рычаг пропуска и машина громко пищит.

Робот-рука спускается и вводит инъекцию {catname}!"
QEVENT_STACYMUTANT1_REW4_M,
QEVENT_STACYMUTANT1_REW4_F,
QEVENT_STACYMUTANT1_REW4_N,
QEVENT_STACYMUTANT1_REW4_B,{catname} отравлен и чувствует себя плохо...
QEVENT_STACYMUTANT1_REW4_B_M,
QEVENT_STACYMUTANT1_REW4_B_F,
QEVENT_STACYMUTANT1_REW4_B_N,
QEVENT_STACYMUTANT2_NAME,Эксперимент Стейси
QEVENT_STACYMUTANT2_QUES,Машина показывает {catname} кнопки с символами стихий.
QEVENT_STACYMUTANT2_QUES_M,
QEVENT_STACYMUTANT2_QUES_F,
QEVENT_STACYMUTANT2_QUES_N,
QEVENT_STACYMUTANT2_ANSW1,Огонь
QEVENT_STACYMUTANT2_REW1,"Машина делает клону инъекцию...

Его шерсть становится багровой, и над головой появляется пылающая сфера!"
QEVENT_STACYMUTANT2_REW1_M,
QEVENT_STACYMUTANT2_REW1_F,
QEVENT_STACYMUTANT2_REW1_N,
QEVENT_STACYMUTANT2_ANSW2,Лёд
QEVENT_STACYMUTANT2_REW2,Клон становится ледяного голубого цвета — он пропитан стихией льда!
QEVENT_STACYMUTANT2_REW2_M,
QEVENT_STACYMUTANT2_REW2_F,
QEVENT_STACYMUTANT2_REW2_N,
QEVENT_STACYMUTANT2_ANSW3,Молния
QEVENT_STACYMUTANT2_REW3,Искры молний проскакивают по шерсти клона!
QEVENT_STACYMUTANT2_REW3_M,
QEVENT_STACYMUTANT2_REW3_F,
QEVENT_STACYMUTANT2_REW3_N,
QEVENT_STACYMUTANT2_ANSW4,Не надо
QEVENT_STACYMUTANT2_REW4,{catname} дёргает рычаг отмены и машина делает инъекцию {him} вместо клона!
QEVENT_STACYMUTANT2_REW4_M,
QEVENT_STACYMUTANT2_REW4_F,
QEVENT_STACYMUTANT2_REW4_N,
QEVENT_STACYMUTANT3_NAME,Эксперимент Стейси
QEVENT_STACYMUTANT3_QUES,Клон за окном мурлычет от предвкушения — машина показывает {catname} кнопки модификации характеристик...
QEVENT_STACYMUTANT3_QUES_M,
QEVENT_STACYMUTANT3_QUES_F,
QEVENT_STACYMUTANT3_QUES_N,
QEVENT_STACYMUTANT3_ANSW1,"Здоровье вверх, скорость вниз"
QEVENT_STACYMUTANT3_REW1,Клон модифицирован: здоровье повышено и скорость снижена!
QEVENT_STACYMUTANT3_REW1_M,
QEVENT_STACYMUTANT3_REW1_F,
QEVENT_STACYMUTANT3_REW1_N,
QEVENT_STACYMUTANT3_ANSW2,"Урон вверх, здоровье вниз"
QEVENT_STACYMUTANT3_REW2,Клон модифицирован: урон повышен и здоровье снижено!
QEVENT_STACYMUTANT3_REW2_M,
QEVENT_STACYMUTANT3_REW2_F,
QEVENT_STACYMUTANT3_REW2_N,
QEVENT_STACYMUTANT3_ANSW3,"Скорость вверх, урон вниз"
QEVENT_STACYMUTANT3_REW3,Клон получил повышение скорости и снижение урона!
QEVENT_STACYMUTANT3_REW3_M,
QEVENT_STACYMUTANT3_REW3_F,
QEVENT_STACYMUTANT3_REW3_N,
QEVENT_STACYMUTANT3_ANSW4,Не надо
QEVENT_STACYMUTANT3_REW4,"Машина вводит инъекцию {catname}. {He} пронзительно кричит, пока {his} тело рвётся на части!"
QEVENT_STACYMUTANT3_REW4_M,
QEVENT_STACYMUTANT3_REW4_F,
QEVENT_STACYMUTANT3_REW4_N,Машина делает инъекцию {catname}. Они кричат от боли — всё тело разрывает и ломает!
QEVENT_STACYMUTANT4_NAME,Эксперимент Стейси
QEVENT_STACYMUTANT4_QUES,"Настала финальная фаза мутации клона. {catname} должен выбрать мутацию головы!
"
QEVENT_STACYMUTANT4_QUES_M,
QEVENT_STACYMUTANT4_QUES_F,
QEVENT_STACYMUTANT4_QUES_N,
QEVENT_STACYMUTANT4_ANSW1,Двойная голова
QEVENT_STACYMUTANT4_REW1,"У клона вырастает дополнительная голова!

Теперь у него есть дополнительный ход каждый раунд."
QEVENT_STACYMUTANT4_REW1_M,
QEVENT_STACYMUTANT4_REW1_F,
QEVENT_STACYMUTANT4_REW1_N,
QEVENT_STACYMUTANT4_ANSW2,Третья лапа
QEVENT_STACYMUTANT4_REW2,"Машина делает клону последнюю инъекцию...

Из его головы вырастает третья лапа, дающая кровотечение и контратаки!"
QEVENT_STACYMUTANT4_REW2_M,
QEVENT_STACYMUTANT4_REW2_F,
QEVENT_STACYMUTANT4_REW2_N,
QEVENT_STACYMUTANT4_ANSW3,Зеркальный блеск
QEVENT_STACYMUTANT4_REW3,"Глаза клона превращаются в отражающие зеркала!

Он получил отражение снарядов и магический выброс!"
QEVENT_STACYMUTANT4_REW3_M,
QEVENT_STACYMUTANT4_REW3_F,
QEVENT_STACYMUTANT4_REW3_N,
QEVENT_STACYMUTANT4_ANSW4,Не надо
QEVENT_STACYMUTANT4_REW4,"{catname} догадывается, что сейчас будет, но всё равно морщится, когда машина делает {him} инъекцию!"
QEVENT_STACYMUTANT4_REW4_M,
QEVENT_STACYMUTANT4_REW4_F,
QEVENT_STACYMUTANT4_REW4_N,
QEVENT_STACYMUTANT4_REW5,{Catname} чувствует себя измождённым...
QEVENT_STACYMUTANT4_REW5_M,
QEVENT_STACYMUTANT4_REW5_F,
QEVENT_STACYMUTANT4_REW5_N,
