KEY,en
TEAMNAME_ADJECTIVE_JESTER0,Безумные
TEAMNAME_ADJECTIVE_JESTER1,Чокнутые
TEAMNAME_ADJECTIVE_JESTER2,Везучие
TEAMNAME_ADJECTIVE_JESTER3,Придурковатые
TEAMNAME_ADJECTIVE_JESTER4,Хихикающие
TEAMNAME_ADJECTIVE_JESTER5,Смеющиеся
TEAMNAME_ADJECTIVE_JESTER6,Смешные
TEAMNAME_ADJECTIVE_JESTER7,Саркастичные
TEAMNAME_ADJECTIVE_JESTER8,Гогочущие
TEAMNAME_ADJECTIVE_JESTER9,Насмешливые
TEAMNAME_ADJECTIVE_JESTER10,Радужные
TEAMNAME_ADJECTIVE_JESTER11,Хохочущие
TEAMNAME_ADJECTIVE_JESTER12,Ехидные
TEAMNAME_ADJECTIVE_JESTER13,Улыбчивые
TEAMNAME_ADJECTIVE_JESTER14,Весёлые
TEAMNAME_ADJECTIVE_MISC0,Мурррчащие
TEAMNAME_ADJECTIVE_MISC1,Пушистые
TEAMNAME_ADJECTIVE_MISC2,format2|{Catname's} и
TEAMNAME_ADJECTIVE_MISC2_M,
TEAMNAME_ADJECTIVE_MISC2_F,
TEAMNAME_ADJECTIVE_MISC2_N,
TEAMNAME_ADJECTIVE_MISC3,format2|{Catname} и
TEAMNAME_ADJECTIVE_MISC3_M,
TEAMNAME_ADJECTIVE_MISC3_F,
TEAMNAME_ADJECTIVE_MISC3_N,
TEAMNAME_NOUN_FIGHTER0,Лбы
TEAMNAME_NOUN_FIGHTER1,Братаны
TEAMNAME_NOUN_FIGHTER2,Кулаки
TEAMNAME_NOUN_FIGHTER3,Громилы
TEAMNAME_NOUN_FIGHTER4,Удары
TEAMNAME_NOUN_FIGHTER5,Болваны
TEAMNAME_NOUN_FIGHTER6,Герои
TEAMNAME_NOUN_FIGHTER7,Альфачи
TEAMNAME_NOUN_FIGHTER8,Качки
TEAMNAME_NOUN_FIGHTER9,Папики
TEAMNAME_NOUN_FIGHTER10,Задиры
TEAMNAME_NOUN_FIGHTER11,Лупилы
TEAMNAME_NOUN_HUNTER0,Следопыты
TEAMNAME_NOUN_HUNTER1,Рейнджеры
TEAMNAME_NOUN_HUNTER2,Следаки
TEAMNAME_NOUN_HUNTER3,Стрелки
TEAMNAME_NOUN_HUNTER4,Живодёры
TEAMNAME_NOUN_HUNTER5,Ловушки
TEAMNAME_NOUN_HUNTER6,Наблюдатели
TEAMNAME_NOUN_HUNTER7,Снайперы
TEAMNAME_NOUN_HUNTER8,singular|Стая
TEAMNAME_NOUN_HUNTER9,Дикари
TEAMNAME_NOUN_HUNTER10,Натуралисты
TEAMNAME_NOUN_HUNTER11,Скауты
TEAMNAME_NOUN_HUNTER12,Выводок
TEAMNAME_NOUN_MEDIC0,Доктора
TEAMNAME_NOUN_MEDIC1,Жрецы
TEAMNAME_NOUN_MEDIC2,Крестоносцы
TEAMNAME_NOUN_MEDIC3,Фанатики
TEAMNAME_NOUN_MEDIC4,Воины Божьи
TEAMNAME_NOUN_MEDIC5,Святоши
TEAMNAME_NOUN_MEDIC6,Служители
TEAMNAME_NOUN_MEDIC7,Верующие
TEAMNAME_NOUN_MEDIC8,Паладины
TEAMNAME_NOUN_MEDIC9,Избранные
TEAMNAME_NOUN_MAGE0,Студенты
TEAMNAME_NOUN_MAGE1,Колдуны
TEAMNAME_NOUN_MAGE2,Оккультисты
TEAMNAME_NOUN_MAGE3,Маги
TEAMNAME_NOUN_MAGE4,Заклинатели
TEAMNAME_NOUN_MAGE5,Собрание
TEAMNAME_NOUN_MAGE6,Всезнайки
TEAMNAME_NOUN_MAGE7,Книжные Черви
TEAMNAME_NOUN_MAGE8,Чародеи
TEAMNAME_NOUN_TANK0,Булыжники
TEAMNAME_NOUN_TANK1,Тумбы
TEAMNAME_NOUN_TANK2,Защитники
TEAMNAME_NOUN_TANK3,Жиртресты
TEAMNAME_NOUN_TANK4,Пузанчики
TEAMNAME_NOUN_TANK5,Стены
TEAMNAME_NOUN_TANK6,Шкафы
TEAMNAME_NOUN_TANK7,Танки
TEAMNAME_NOUN_TANK8,Здоровяки
TEAMNAME_NOUN_TANK9,Толстяки
TEAMNAME_NOUN_TANK10,Буханки
TEAMNAME_NOUN_TANK11,Глыбы
TEAMNAME_NOUN_TANK12,Черепахи
TEAMNAME_NOUN_THIEF0,Тени
TEAMNAME_NOUN_THIEF1,Бандиты
TEAMNAME_NOUN_THIEF2,Проходимцы
TEAMNAME_NOUN_THIEF3,Жулики
TEAMNAME_NOUN_THIEF4,Мошенники
TEAMNAME_NOUN_THIEF5,Предатели
TEAMNAME_NOUN_THIEF6,Воры
TEAMNAME_NOUN_THIEF7,Карманники
TEAMNAME_NOUN_THIEF8,Барахольщики
TEAMNAME_NOUN_THIEF9,Плуты
TEAMNAME_NOUN_THIEF10,Мародёры
TEAMNAME_NOUN_THIEF11,Угонщики
TEAMNAME_NOUN_MONK0,singular|Додзё
TEAMNAME_NOUN_MONK1,Чакры
TEAMNAME_NOUN_MONK2,Лотосы
TEAMNAME_NOUN_MONK3,Кулаки Ярости
TEAMNAME_NOUN_MONK4,Существа
TEAMNAME_NOUN_MONK5,Буддисты
TEAMNAME_NOUN_MONK6,Мастера Кунг-Фу
TEAMNAME_NOUN_MONK7,Гармонии
TEAMNAME_NOUN_MONK8,Ладони
TEAMNAME_NOUN_MONK9,Отшельники
TEAMNAME_NOUN_MONK10,singular|Секта
TEAMNAME_NOUN_MONK11,Сони
TEAMNAME_NOUN_MONK12,Притчи
TEAMNAME_NOUN_DRUID0,Зверюшки
TEAMNAME_NOUN_DRUID1,Музыканты
TEAMNAME_NOUN_DRUID2,Зоологи
TEAMNAME_NOUN_DRUID3,singular|Банда
TEAMNAME_NOUN_DRUID4,Коллектив
TEAMNAME_NOUN_DRUID5,Хиппи
TEAMNAME_NOUN_DRUID6,Оборотни
TEAMNAME_NOUN_DRUID7,Зверьки
TEAMNAME_NOUN_DRUID8,Певцы
TEAMNAME_NOUN_DRUID9,singular|Хор
TEAMNAME_NOUN_DRUID10,Дети Цветов
TEAMNAME_NOUN_DRUID11,Друзья
TEAMNAME_NOUN_PSYCHIC0,Ясновидцы
TEAMNAME_NOUN_PSYCHIC1,Провидцы
TEAMNAME_NOUN_PSYCHIC2,Глаза
TEAMNAME_NOUN_PSYCHIC3,Гадалки
TEAMNAME_NOUN_PSYCHIC4,Манипуляторы
TEAMNAME_NOUN_PSYCHIC5,Телепаты
TEAMNAME_NOUN_PSYCHIC6,Аферисты
TEAMNAME_NOUN_PSYCHIC7,Толкачи
TEAMNAME_NOUN_PSYCHIC8,Хироманты
TEAMNAME_NOUN_PSYCHIC9,Менталисты
TEAMNAME_NOUN_BUTCHER0,Шашлычники
TEAMNAME_NOUN_BUTCHER1,Обжоры
TEAMNAME_NOUN_BUTCHER2,Желудки
TEAMNAME_NOUN_BUTCHER3,Хряки
TEAMNAME_NOUN_BUTCHER4,Поросята
TEAMNAME_NOUN_BUTCHER5,Мясники
TEAMNAME_NOUN_BUTCHER6,Черти
TEAMNAME_NOUN_BUTCHER7,Рубщики
TEAMNAME_NOUN_BUTCHER8,singular|Рой
TEAMNAME_NOUN_BUTCHER9,Мухи
TEAMNAME_NOUN_BUTCHER10,Блевуны
TEAMNAME_NOUN_BUTCHER11,Обжиралы
TEAMNAME_NOUN_NECROMANCER0,Зомби
TEAMNAME_NOUN_NECROMANCER1,Скелеты
TEAMNAME_NOUN_NECROMANCER2,Пиявки
TEAMNAME_NOUN_NECROMANCER3,Кровососы
TEAMNAME_NOUN_NECROMANCER4,Мёртвые Коты
TEAMNAME_NOUN_NECROMANCER5,Трупы
TEAMNAME_NOUN_NECROMANCER6,Мертвецы
TEAMNAME_NOUN_NECROMANCER7,Изгои
TEAMNAME_NOUN_NECROMANCER8,Личинки
TEAMNAME_NOUN_NECROMANCER9,Культисты
TEAMNAME_NOUN_NECROMANCER10,Призраки
TEAMNAME_NOUN_TINKERER0,Роботы
TEAMNAME_NOUN_TINKERER1,Учёные
TEAMNAME_NOUN_TINKERER2,Работяги
TEAMNAME_NOUN_TINKERER3,Инструменты
TEAMNAME_NOUN_TINKERER4,Бомбы
TEAMNAME_NOUN_TINKERER5,Искры
TEAMNAME_NOUN_TINKERER6,Автоматоны
TEAMNAME_NOUN_TINKERER7,Процессоры
TEAMNAME_NOUN_TINKERER8,Батарейки
TEAMNAME_NOUN_TINKERER9,Изобретатели
TEAMNAME_NOUN_TINKERER10,Нерды
TEAMNAME_NOUN_TINKERER11,Гики
TEAMNAME_NOUN_COLORLESS0,Коты
TEAMNAME_NOUN_COLORLESS1,Пацаны
TEAMNAME_NOUN_COLORLESS2,Кошки
TEAMNAME_NOUN_JESTER0,Шутники
TEAMNAME_NOUN_JESTER1,Тролли
TEAMNAME_NOUN_JESTER2,Малышня
TEAMNAME_NOUN_JESTER3,Звёзды
TEAMNAME_NOUN_JESTER4,Комики
TEAMNAME_NOUN_JESTER5,Клоуны
TEAMNAME_NOUN_JESTER6,Шуты
TEAMNAME_NOUN_JESTER7,Мимы
TEAMNAME_NOUN_JESTER8,Джокеры
TEAMNAME_NOUN_JESTER9,Радуги
TEAMNAME_NOUN_JESTER10,Балатро
TEAMNAME_NOUN_JESTER11,Клоунята
TEAMNAME_NOUN_MISC0,Чуваки
TEAMNAME_NOUN_MISC1,singular|Команда
TEAMNAME_NOUN_MISC2,Коты
TEAMNAME_NOUN_MISC3,singular|Шайка
TEAMNAME_NOUN_MISC4,Котята
TEAMNAME_NOUN_MISC5,Кисы
TEAMNAME_NOUN_MISC6,Шерстяные Клубки
TEAMNAME_NOUN_MISC7,Пушистики
TEAMNAME_NOUN_MISC8,Котозовы
TEAMNAME_NOUN_MISC9,Гатосы
